Date,Temperature,CO2
20/04/2004,16.8,0.0
07/06/2004,18.7,0.8
20/06/2004,-40.0,
01/06/2004,19.6,1.8
19/02/2005,11.2,1.2
10/03/2004,-20.8,9.4
10/04/2004,31.9,0.5
04/06/2004,-22.3,12.6
17/02/2005,-28.1,5.0
13/02/2005,5.4,
20/02/2004,3.5,
21/12/2005,-19.4,
27/04/2004,-20.3,
26/10/2005,-31.3,18.1
04/07/2005,-26.7,
20/08/2005,10.6,
05/07/2004,10.6,
10/09/2005,-21.3,16.0
25/12/2005,29.8,
01/02/2005,24.3,8.0
23/03/2005,-19.4,
11/12/2004,-22.5,10.2
29/04/2004,19.4,4.6
16/03/2005,-31.3,13.9
18/11/2004,23.0,8.2
08/05/2005,5.0,7.8
08/12/2004,-4.2,8.4
03/11/2005,4.2,1.4
20/10/2004,-19.5,
19/02/2005,-38.1,
31/08/2005,-35.0,9.5
31/07/2004,31.2,
25/01/2004,-23.4,
01/09/2005,2.5,
01/02/2004,7.9,14.9
21/09/2005,23.5,
27/11/2004,20.2,
04/08/2004,-24.2,6.0
24/06/2004,-14.8,13.7
20/01/2005,10.8,
22/02/2004,16.5,
26/08/2005,23.3,
08/11/2004,38.1,
27/10/2004,39.9,1.7
13/06/2004,37.5,
27/01/2005,13.0,9.8
05/03/2004,10.7,
16/02/2005,11.4,0.2
16/10/2004,-33.8,
29/02/2004,27.9,
